Sort [1],State,FIPS,County [2],Population(2010),Land Areakm²,Land Areami²,Water Areakm²,Water Areami²,Total Areakm²,Total Areami²,Latitude,Longitude
52,AL,c01103,Morgan,"119,490","1,500.48",579.337,51.065,19.716,"1,551.54",599.053,34.454484,-86.846402
53,AL,c01105,Perry,"10,591","1,863.92",719.664,10.919,4.216,"1,874.84",723.88,32.639005,-87.29382700000001
54,AL,c01107,Pickens,"19,746","2,282.84",881.408,22.578,8.717,"2,305.42",890.125,33.296809,-88.096878
55,AL,c01109,Pike,"32,899","1,740.72",672.094,2.363,0.912,"1,743.08",673.006,31.798726000000002,-85.941997
56,AL,c01111,Randolph,"22,913","1,503.62",580.55,9.285,3.585,"1,512.90",584.135,33.296475,-85.46406800000001
57,AL,c01113,Russell,"52,947","1,660.55",641.14,15.673,6.052,"1,676.22",647.192,32.289811,-85.18698
58,AL,c01115,St. Clair,"83,593","1,636.62",631.902,56.3,21.738,"1,692.92",653.64,33.712963,-86.315663
59,AL,c01117,Shelby,"195,085","2,032.96",784.93,63.701,24.595,"2,096.66",809.525,33.262937,-86.678104
60,AL,c01119,Sumter,"13,763","2,341.06",903.887,24.436,9.435,"2,365.49",913.322,32.597481,-88.200057
61,AL,c01121,Talladega,"82,291","1,908.24",736.775,60.944,23.531,"1,969.18",760.306,33.369277000000004,-86.17580500000001
62,AL,c01123,Tallapoosa,"41,616","1,855.78",716.521,128.809,49.733,"1,984.59",766.254,32.863369,-85.799553
63,AL,c01125,Tuscaloosa,"194,656","3,423.33","1,321.76",76.396,29.497,"3,499.73","1,351.25",33.290202,-87.52286
64,AL,c01127,Walker,"67,023","2,049.18",791.192,36.264,14.002,"2,085.44",805.194,33.791571000000005,-87.30109200000001
65,AL,c01129,Washington,"17,581","2,797.72","1,080.21",21.651,8.359,"2,819.37","1,088.57",31.406973999999998,-88.202078
66,AL,c01131,Wilcox,"11,670","2,301.20",888.498,48.985,18.913,"2,350.19",907.411,31.99033,-87.302205
67,AL,c01133,Winston,"24,484","1,587.61",612.979,48.923,18.889,"1,636.53",631.868,34.155888,-87.364147
68,AK,c02013,Aleutians East,"3,141","18,083.15","6,981.94","20,792.21","8,027.92","38,875.36","15,009.86",55.243722,-161.950749
69,AK,c02016,Aleutians West [4],"5,561","11,370.76","4,390.28","25,190.64","9,726.16","36,561.41","14,116.44",51.959447,178.338813
70,AK,c02020,Anchorage,"291,826","4,415.11","1,704.68",663.861,256.318,"5,078.97","1,961.00",61.177549,-149.27435400000002
71,AK,c02050,Bethel [4],"17,013","105,075.82","40,570.00","12,779.52","4,934.20","117,855.35","45,504.21",60.928916,-160.15335
72,AK,c02060,Bristol Bay,997,"1,304.95",503.843,993.83,383.72,"2,298.78",887.563,58.731373,-156.986612
73,AK,c02068,Denali,"1,826","33,026.00","12,751.41",66.069,25.509,"33,092.07","12,776.92",63.682731999999994,-150.02671899999999
74,AK,c02070,Dillingham [4],"4,847","48,092.91","18,568.78","6,077.22","2,346.43","54,170.14","20,915.21",59.824816000000006,-158.602233
75,AK,c02090,Fairbanks North Star,"97,581","19,005.87","7,338.21",273.188,105.479,"19,279.06","7,443.69",64.690832,-146.599867
76,AK,c02100,Haines,"2,508","6,005.15","2,318.60","1,053.88",406.903,"7,059.02","2,725.50",59.09990500000001,-135.578102
77,AK,c02105,Hoonah-Angoon [4],"2,150","19,489.44","7,524.92","8,778.09","3,389.24","28,267.52","10,914.15",58.076434,-135.1851
78,AK,c02110,Juneau,"31,275","6,997.97","2,701.93","1,429.58",551.962,"8,427.54","3,253.89",58.3727,-134.17878100000001
79,AK,c02122,Kenai Peninsula,"55,400","41,634.92","16,075.33","22,473.29","8,676.99","64,108.21","24,752.32",60.366372999999996,-152.32197299999999
80,AK,c02130,Ketchikan Gateway,"13,477","12,583.23","4,858.41","4,649.41","1,795.15","17,232.65","6,653.56",55.449938,-131.106685
81,AK,c02150,Kodiak Island,"13,592","16,963.33","6,549.58","14,173.06","5,472.25","31,136.39","12,021.83",57.553611,-153.630911
81,AK,c02158,Kusilvak,0,0,0,0,0,0,0,62.035484999999994,-163.26085700000002
82,AK,c02164,Lake and Peninsula,"1,631","61,258.42","23,652.01","24,010.46","9,270.49","85,268.88","32,922.50",58.205065000000005,-156.705188
83,AK,c02170,Matanuska-Susitna,"88,995","63,734.16","24,607.90","1,682.74",649.709,"65,416.90","25,257.61",62.182173999999996,-149.407974
84,AK,c02180,Nome [4],"9,492","59,470.69","22,961.76","13,768.01","5,315.86","73,238.70","28,277.62",64.783686,-164.18891200000002
85,AK,c02185,North Slope,"9,430","229,720.05","88,695.41","15,801.18","6,100.87","245,521.23","94,796.28",69.449343,-153.47283000000002
86,AK,c02188,Northwest Arctic,"7,523","92,132.57","35,572.58","13,406.69","5,176.35","105,539.25","40,748.94",67.005066,-160.021086
87,AK,c02195,Petersburg [4],"3,815","8,500.29","3,281.98","6,221.37","2,402.08","14,721.66","5,684.07",56.639612,-133.527996
88,AK,c02198,Prince of Wales-Hyder [4],"5,559","10,160.19","3,922.87","9,739.42","3,760.41","19,899.61","7,683.28",55.415682999999994,-132.875734
89,AK,c02220,Sitka,"8,881","7,434.14","2,870.34","5,027.40","1,941.09","12,461.55","4,811.43",57.142509,-135.332624
90,AK,c02230,Skagway,968,"1,171.52",452.325,30.331,11.711,"1,201.85",464.036,59.575097,-135.335418
91,AK,c02240,Southeast Fairbanks [4],"7,029","64,150.92","24,768.81",752.795,290.656,"64,903.71","25,059.46",63.864996999999995,-143.218628
92,AK,c02261,Valdez-Cordova [4],"9,636","88,680.88","34,239.88","15,799.69","6,100.30","104,480.57","40,340.18",61.34984,-145.02314099999998
93,AK,c02270,Wade Hampton [4],"7,459","44,240.71","17,081.43","6,712.00","2,591.52","50,952.71","19,672.95",62.283174,-163.19095
94,AK,c02275,Wrangell,"2,369","6,582.41","2,541.48","2,384.28",920.574,"8,966.69","3,462.06",56.279120999999996,-132.040326
95,AK,c02282,Yakutat,662,"19,812.00","7,649.46","4,696.71","1,813.41","24,508.71","9,462.87",59.999083,-140.23959299999999
96,AK,c02290,Yukon-Koyukuk [4],"5,588","376,855.66","145,504.79","5,956.56","2,299.84","382,812.22","147,804.63",65.376131,-151.576855
97,AZ,c04001,Apache,"71,518","29,001.44","11,197.52",54.176,20.917,"29,055.62","11,218.44",35.385845,-109.493747
98,AZ,c04003,Cochise,"131,346","15,969.06","6,165.69",137.025,52.906,"16,106.09","6,218.60",31.881793,-109.75412
99,AZ,c04005,Coconino,"134,421","48,222.69","18,618.89",109.964,42.457,"48,332.65","18,661.34",35.829692,-111.773728
100,AZ,c04007,Gila,"53,597","12,322.99","4,757.93",97.112,37.495,"12,420.10","4,795.43",33.789618,-110.81187
101,AZ,c04009,Graham,"37,220","11,972.47","4,622.60",47.834,18.469,"12,020.31","4,641.07",32.931828,-109.87831000000001
102,AZ,c04011,Greenlee,"8,437","4,773.67","1,843.13",13.745,5.307,"4,787.42","1,848.43",33.238872,-109.242323
103,AZ,c04012,La Paz,"20,489","11,653.98","4,499.63",36.582,14.124,"11,690.57","4,513.75",33.727625,-114.038793
104,AZ,c04013,Maricopa,"3,817,117","23,828.26","9,200.14",62.796,24.246,"23,891.06","9,224.39",33.346540999999995,-112.495534
105,AZ,c04015,Mohave,"200,186","34,475.55","13,311.08",387.371,149.565,"34,862.92","13,460.65",35.717705,-113.74968899999999
106,AZ,c04017,Navajo,"107,449","25,771.47","9,950.42",24.078,9.297,"25,795.55","9,959.72",35.390934,-110.320908
107,AZ,c04019,Pima,"980,263","23,794.31","9,187.04",5.338,2.061,"23,799.65","9,189.10",32.128237,-111.783018
108,AZ,c04021,Pinal,"375,770","13,896.87","5,365.61",22.332,8.622,"13,919.20","5,374.23",32.91891,-111.36725700000001
109,AZ,c04023,Santa Cruz,"47,420","3,203.60","1,236.92",3.088,1.192,"3,206.69","1,238.11",31.525903999999997,-110.84518999999999
110,AZ,c04025,Yavapai,"211,033","21,039.77","8,123.50",11.502,4.441,"21,051.27","8,127.94",34.630044,-112.573745
111,AZ,c04027,Yuma,"195,751","14,281.17","5,513.99",13.254,5.117,"14,294.43","5,519.11",32.773942,-113.910905
112,AR,c05001,Arkansas,"19,019","2,560.90",988.77,116.496,44.979,"2,677.40","1,033.75",34.289574,-91.376547
113,AR,c05003,Ashley,"21,853","2,396.64",925.349,39.311,15.178,"2,435.95",940.527,33.190835,-91.772267
114,AR,c05005,Baxter,"41,513","1,435.59",554.283,83.997,32.432,"1,519.59",586.715,36.28071,-92.330438
115,AR,c05007,Benton,"221,339","2,194.65",847.357,94.662,36.549,"2,289.31",883.906,36.337825,-94.256187
116,AR,c05009,Boone,"36,903","1,528.69",590.231,30.044,11.6,"1,558.74",601.831,36.304308,-93.079204
117,AR,c05011,Bradley,"11,508","1,681.50",649.231,9.547,3.686,"1,691.05",652.917,33.463819,-92.168164
118,AR,c05013,Calhoun,"5,368","1,628.02",628.581,9.926,3.833,"1,637.94",632.414,33.56046,-92.513879
119,AR,c05015,Carroll,"27,446","1,631.92",630.087,22.566,8.713,"1,654.48",638.8,36.337773999999996,-93.541663
120,AR,c05017,Chicot,"11,800","1,668.74",644.304,120.392,46.483,"1,789.13",690.787,33.267139,-91.297158
121,AR,c05019,Clark,"22,995","2,243.12",866.074,43.396,16.755,"2,286.52",882.829,34.053312,-93.17620500000001
122,AR,c05021,Clay,"16,083","1,656.21",639.465,5.106,1.971,"1,661.31",641.436,36.367302,-90.418704
123,AR,c05023,Cleburne,"25,970","1,434.06",553.692,99.015,38.23,"1,533.07",591.922,35.566288,-92.059974
124,AR,c05025,Cleveland,"8,689","1,548.25",597.783,2.5,0.965,"1,550.75",598.748,33.893201,-92.188714
125,AR,c05027,Columbia,"24,552","1,984.07",766.053,1.814,0.7,"1,985.88",766.753,33.215070000000004,-93.226901
126,AR,c05029,Conway,"21,273","1,430.32",552.25,37.343,14.418,"1,467.66",566.668,35.265702000000005,-92.68924799999999
127,AR,c05031,Craighead,"96,443","1,831.66",707.206,14.162,5.468,"1,845.82",712.674,35.828268,-90.630411
128,AR,c05033,Crawford,"61,948","1,536.11",593.094,28.874,11.148,"1,564.98",604.242,35.583040999999994,-94.23622399999999
129,AR,c05035,Crittenden,"50,902","1,579.27",609.76,68.939,26.617,"1,648.21",636.377,35.211878000000006,-90.315331
130,AR,c05037,Cross,"17,870","1,596.42",616.381,15.349,5.926,"1,611.77",622.307,35.291259000000004,-90.773894
131,AR,c05039,Dallas,"8,116","1,728.52",667.386,1.864,0.72,"1,730.39",668.106,33.967822999999996,-92.653999
132,AR,c05041,Desha,"13,008","1,989.50",768.152,133.058,51.374,"2,122.56",819.526,33.828748,-91.244427
133,AR,c05043,Drew,"18,509","2,145.43",828.356,18.921,7.305,"2,164.35",835.661,33.587241999999996,-91.722778
134,AR,c05045,Faulkner,"113,237","1,678.01",647.884,41.927,16.188,"1,719.94",664.072,35.146356,-92.32465400000001
135,AR,c05047,Franklin,"18,125","1,576.93",608.857,27.934,10.785,"1,604.87",619.642,35.508573,-93.887672
136,AR,c05049,Fulton,"12,245","1,601.11",618.194,5.527,2.134,"1,606.64",620.328,36.383443,-91.819239
137,AR,c05051,Garland,"96,024","1,755.45",677.781,147.214,56.84,"1,902.66",734.621,34.578860999999996,-93.146915
138,AR,c05053,Grant,"17,853","1,636.38",631.809,2.904,1.121,"1,639.28",632.93,34.288063,-92.42398399999999
139,AR,c05055,Greene,"42,090","1,496.23",577.699,4.827,1.864,"1,501.06",579.563,36.119921999999995,-90.565241
140,AR,c05057,Hempstead,"22,609","1,884.27",727.52,35.372,13.657,"1,919.64",741.177,33.728611,-93.665809
141,AR,c05059,Hot Spring,"32,923","1,593.37",615.202,18.053,6.97,"1,611.42",622.172,34.315177,-92.944147
142,AR,c05061,Howard,"13,789","1,524.35",588.554,17.509,6.76,"1,541.86",595.314,34.083179,-93.990988
143,AR,c05063,Independence,"36,647","1,978.63",763.953,19.594,7.565,"1,998.22",771.518,35.737499,-91.559942
144,AR,c05065,Izard,"13,696","1,503.69",580.577,8.913,3.441,"1,512.60",584.018,36.094879,-91.913625
145,AR,c05067,Jackson,"17,997","1,641.89",633.938,19.588,7.563,"1,661.48",641.501,35.596605,-91.223178
146,AR,c05069,Jefferson,"77,435","2,255.22",870.746,111.448,43.03,"2,366.67",913.776,34.277696,-91.930701
147,AR,c05071,Johnson,"25,540","1,708.88",659.804,59.416,22.94,"1,768.30",682.744,35.573359,-93.46632199999999
148,AR,c05073,Lafayette,"7,645","1,368.21",528.268,43.539,16.811,"1,411.75",545.079,33.24066,-93.611643
149,AR,c05075,Lawrence,"17,415","1,521.91",587.614,12.245,4.728,"1,534.16",592.342,36.041098,-91.101153
150,AR,c05077,Lee,"10,424","1,560.78",602.621,43.722,16.881,"1,604.50",619.502,34.77975,-90.779288
151,AR,c05079,Lincoln,"14,134","1,454.32",561.517,27.631,10.668,"1,481.95",572.185,33.957665000000006,-91.727624
152,AR,c05081,Little River,"13,171","1,378.53",532.253,84.208,32.513,"1,462.74",564.766,33.699496999999994,-94.229774
153,AR,c05083,Logan,"22,353","1,834.03",708.125,60.696,23.435,"1,894.73",731.56,35.21855,-93.720563
154,AR,c05085,Lonoke,"68,356","1,996.18",770.728,83.17,32.112,"2,079.35",802.84,34.755114,-91.894132
155,AR,c05087,Madison,"15,717","2,160.71",834.255,7.316,2.825,"2,168.03",837.08,36.012545,-93.724053
156,AR,c05089,Marion,"16,653","1,546.25",597.009,112.175,43.311,"1,658.42",640.32,36.266656,-92.678588
157,AR,c05091,Miller,"43,462","1,620.24",625.578,31.264,12.071,"1,651.50",637.649,33.305505,-93.90150899999999
158,AR,c05093,Mississippi,"46,480","2,332.48",900.574,49.826,19.238,"2,382.30",919.812,35.766943,-90.05220899999999
159,AR,c05095,Monroe,"8,149","1,572.44",607.122,36.715,14.176,"1,609.15",621.298,34.679513,-91.203314
160,AR,c05097,Montgomery,"9,487","2,019.88",779.88,52.86,20.409,"2,072.74",800.289,34.545652000000004,-93.664147
161,AR,c05099,Nevada,"8,997","1,600.19",617.837,7.258,2.802,"1,607.45",620.639,33.666699,-93.305072
162,AR,c05101,Newton,"8,330","2,126.11",820.896,5.932,2.29,"2,132.04",823.186,35.910063,-93.21508399999999
163,AR,c05103,Ouachita,"26,120","1,897.90",732.783,18.05,6.969,"1,915.95",739.752,33.591158,-92.87841800000001
164,AR,c05105,Perry,"10,445","1,428.13",551.402,23.649,9.131,"1,451.78",560.533,34.946363,-92.926877
165,AR,c05107,Phillips,"21,757","1,801.76",695.663,82.056,31.682,"1,883.81",727.345,34.425841999999996,-90.848386
166,AR,c05109,Pike,"11,291","1,555.59",600.618,34.996,13.512,"1,590.59",614.13,34.158190999999995,-93.658659
167,AR,c05111,Poinsett,"24,583","1,964.22",758.389,13.523,5.221,"1,977.74",763.61,35.568981,-90.680595
168,AR,c05113,Polk,"20,662","2,221.38",857.679,12.387,4.783,"2,233.77",862.462,34.490915,-94.230884
169,AR,c05115,Pope,"61,754","2,104.49",812.548,47.207,18.227,"2,151.70",830.775,35.455296999999995,-93.03153499999999
170,AR,c05117,Prairie,"8,715","1,678.20",647.958,71.629,27.656,"1,749.83",675.614,34.828225,-91.5572
171,AR,c05119,Pulaski,"382,748","1,967.78",759.763,124.062,47.9,"2,091.84",807.663,34.773988,-92.316515
172,AR,c05121,Randolph,"17,969","1,689.17",652.191,9.968,3.849,"1,699.13",656.04,36.341299,-91.028441
173,AR,c05123,St. Francis,"28,258","1,644.05",634.771,20.05,7.741,"1,664.10",642.512,35.014438,-90.742199
174,AR,c05125,Saline,"107,118","1,874.13",723.604,17.836,6.886,"1,891.96",730.49,34.648525,-92.674463
175,AR,c05127,Scott,"11,233","2,311.10",892.32,14.901,5.753,"2,326.00",898.073,34.858869,-94.063641
176,AR,c05129,Searcy,"8,195","1,725.18",666.095,6.257,2.416,"1,731.43",668.511,35.909659999999995,-92.69935100000001
177,AR,c05131,Sebastian,"125,744","1,377.64",531.911,36.906,14.249,"1,414.55",546.16,35.196981,-94.274989
178,AR,c05133,Sevier,"17,058","1,463.67",565.126,41.831,16.151,"1,505.50",581.277,33.994608,-94.24329
179,AR,c05135,Sharp,"17,264","1,565.49",604.439,5.173,1.997,"1,570.66",606.436,36.173398999999996,-91.471069
180,AR,c05137,Stone,"12,394","1,570.58",606.405,7.839,3.027,"1,578.42",609.432,35.856989,-92.14049399999999
181,AR,c05139,Union,"41,639","2,691.55","1,039.21",41.402,15.985,"2,732.95","1,055.20",33.168219,-92.598145
182,AR,c05141,Van Buren,"17,295","1,834.08",708.143,41.806,16.141,"1,875.89",724.284,35.582959,-92.515977
183,AR,c05143,Washington,"203,065","2,439.68",941.966,27.047,10.443,"2,466.73",952.409,35.971209,-94.218417
184,AR,c05145,White,"77,076","2,680.83","1,035.08",18.311,7.07,"2,699.14","1,042.15",35.254721999999994,-91.753158
185,AR,c05147,Woodruff,"7,260","1,519.78",586.791,18.708,7.223,"1,538.49",594.014,35.189071000000006,-91.24441800000001
186,AR,c05149,Yell,"22,185","2,408.65",929.984,48.88,18.873,"2,457.53",948.857,34.997713,-93.408303
187,CA,c06001,Alameda,"1,510,271","1,914.05",739.017,213.185,82.311,"2,127.23",821.328,37.648081,-121.91330400000001
188,CA,c06003,Alpine,"1,175","1,912.27",738.332,12.557,4.848,"1,924.83",743.18,38.61761,-119.798999
189,CA,c06005,Amador,"38,091","1,539.96",594.583,29.457,11.373,"1,569.42",605.956,38.44355,-120.653856
190,CA,c06007,Butte,"220,000","4,238.42","1,636.46",105.326,40.667,"4,343.75","1,677.13",39.665959,-121.601919
191,CA,c06009,Calaveras,"45,578","2,641.82","1,020.01",43.81,16.915,"2,685.63","1,036.93",38.187844,-120.55511499999999
192,CA,c06011,Colusa,"21,419","2,980.38","1,150.73",14.581,5.63,"2,994.96","1,156.36",39.177739,-122.237563
193,CA,c06013,Contra Costa,"1,049,025","1,854.27",715.937,227.485,87.833,"2,081.75",803.77,37.919478999999995,-121.95154299999999
194,CA,c06015,Del Norte,"28,610","2,606.49","1,006.37",578.526,223.37,"3,185.02","1,229.74",41.749903,-123.980998
195,CA,c06017,El Dorado,"181,058","4,423.40","1,707.88",203.243,78.473,"4,626.64","1,786.36",38.785532,-120.534398
196,CA,c06019,Fresno,"930,450","15,431.13","5,957.99",137.816,53.211,"15,568.94","6,011.20",36.761006,-119.655019
197,CA,c06021,Glenn,"28,122","3,403.11","1,313.95",33.75,13.031,"3,436.86","1,326.98",39.602546000000004,-122.4017
198,CA,c06023,Humboldt,"134,623","9,241.05","3,567.99","1,254.26",484.271,"10,495.30","4,052.26",40.706672999999995,-123.92581799999999
199,CA,c06025,Imperial,"174,528","10,817.35","4,176.60",790.248,305.116,"11,607.60","4,481.72",33.040816,-115.355395
200,CA,c06027,Inyo,"18,546","26,368.35","10,180.88",119.208,46.026,"26,487.56","10,226.91",36.561977,-117.403927
201,CA,c06029,Kern,"839,631","21,061.57","8,131.92",79.577,30.725,"21,141.14","8,162.64",35.346629,-118.729506
