Sort [1],State,FIPS,County [2],Population(2010),Land Areakm²,Land Areami²,Water Areakm²,Water Areami²,Total Areakm²,Total Areami²,Latitude,Longitude
594,ID,c16085,Valley,"9,862","9,491.05","3,664.52",177.273,68.446,"9,668.32","3,732.96",44.771532,-115.637875
595,ID,c16087,Washington,"10,198","3,763.21","1,452.98",53.213,20.546,"3,816.42","1,473.53",44.448213,-116.79783
596,IL,c17001,Adams,"67,103","2,214.96",855.202,41.793,16.136,"2,256.76",871.338,39.986053000000005,-91.19496099999999
597,IL,c17003,Alexander,"8,238",609.966,235.509,44.268,17.092,654.234,252.601,37.183683,-89.349506
598,IL,c17005,Bond,"17,768",984.919,380.279,6.426,2.481,991.345,382.76,38.885923999999996,-89.436592
599,IL,c17007,Boone,"54,165",727.06,280.719,3.381,1.305,730.441,282.024,42.318983,-88.82429499999999
600,IL,c17009,Brown,"6,937",791.518,305.607,4.139,1.598,795.658,307.205,39.962069,-90.75031
601,IL,c17011,Bureau,"34,978","2,250.78",869.031,11.584,4.472,"2,262.36",873.503,41.401303999999996,-89.528377
602,IL,c17013,Calhoun,"5,089",657.403,253.825,77.057,29.752,734.46,283.577,39.164262,-90.66629499999999
603,IL,c17015,Carroll,"15,387","1,152.05",444.807,55.822,21.553,"1,207.87",466.36,42.059084000000006,-89.926485
604,IL,c17017,Cass,"13,642",973.365,375.818,20.582,7.947,993.947,383.765,39.969202,-90.245705
605,IL,c17019,Champaign,"201,081","2,580.32",996.266,5.509,2.127,"2,585.83",998.393,40.13915,-88.197201
606,IL,c17021,Christian,"34,800","1,837.28",709.377,16.221,6.263,"1,853.50",715.64,39.545524,-89.279593
607,IL,c17023,Clark,"16,335","1,298.67",501.418,8.807,3.4,"1,307.47",504.818,39.332364,-87.791687
608,IL,c17025,Clay,"13,815","1,212.93",468.316,3.305,1.276,"1,216.24",469.592,38.747312,-88.483789
609,IL,c17027,Clinton,"37,762","1,227.87",474.085,75.592,29.186,"1,303.47",503.271,38.606423,-89.423136
610,IL,c17029,Coles,"53,873","1,316.47",508.291,4.625,1.786,"1,321.09",510.077,39.51368,-88.220782
611,IL,c17031,Cook,"5,194,675","2,448.38",945.326,"1,785.88",689.533,"4,234.27","1,634.86",41.894294,-87.645455
612,IL,c17033,Crawford,"19,817","1,148.99",443.629,5.67,2.189,"1,154.67",445.818,39.00373,-87.757172
613,IL,c17035,Cumberland,"11,048",896.199,346.024,2.536,0.979,898.734,347.003,39.273121,-88.240619
614,IL,c17037,DeKalb,"105,160","1,635.08",631.307,8.684,3.353,"1,643.76",634.66,41.894613,-88.768991
615,IL,c17039,De Witt,"16,561","1,029.56",397.513,19.609,7.571,"1,049.16",405.084,40.181499,-88.901853
616,IL,c17041,Douglas,"19,980","1,079.16",416.665,1.449,0.559,"1,080.61",417.224,39.766078,-88.222866
617,IL,c17043,DuPage,"916,924",848.218,327.499,23.083,8.913,871.302,336.412,41.852058,-88.086038
618,IL,c17045,Edgar,"18,576","1,614.53",623.374,1.611,0.622,"1,616.14",623.996,39.679037,-87.74710999999999
619,IL,c17047,Edwards,"6,721",576.054,222.416,0.789,0.305,576.843,222.721,38.417095,-88.04794100000001
620,IL,c17049,Effingham,"34,242","1,240.03",478.777,3.183,1.229,"1,243.21",480.006,39.047694,-88.592786
621,IL,c17051,Fayette,"22,140","1,855.68",716.482,22.95,8.861,"1,878.63",725.343,39.001125,-89.017923
622,IL,c17053,Ford,"14,081","1,257.74",485.616,1.622,0.626,"1,259.36",486.242,40.594423,-88.224746
623,IL,c17055,Franklin,"39,561","1,059.02",408.889,58.417,22.555,"1,117.44",431.444,37.991848,-88.92624599999999
624,IL,c17057,Fulton,"37,069","2,241.88",865.595,43.974,16.979,"2,285.86",882.574,40.465688,-90.206793
625,IL,c17059,Gallatin,"5,589",836.75,323.071,13.239,5.111,849.989,328.182,37.768677000000004,-88.227964
626,IL,c17061,Greene,"13,886","1,406.41",543.019,8.425,3.253,"1,414.84",546.272,39.355444,-90.387757
627,IL,c17063,Grundy,"50,063","1,082.73",418.043,32.127,12.404,"1,114.85",430.447,41.29241,-88.401055
628,IL,c17065,Hamilton,"8,457","1,125.78",434.665,3.175,1.226,"1,128.95",435.891,38.085226,-88.539005
629,IL,c17067,Hancock,"19,104","2,055.74",793.726,53.536,20.67,"2,109.28",814.396,40.405792,-91.167988
630,IL,c17069,Hardin,"4,320",459.794,177.528,10.491,4.051,470.286,181.579,37.517852000000005,-88.266148
631,IL,c17071,Henderson,"7,331",981.274,378.872,42.341,16.348,"1,023.61",395.22,40.815141,-90.93848
632,IL,c17073,Henry,"50,486","2,131.52",822.985,6.884,2.658,"2,138.41",825.643,41.350021000000005,-90.130838
633,IL,c17075,Iroquois,"29,718","2,893.84","1,117.32",4.172,1.611,"2,898.01","1,118.93",40.748867,-87.833601
634,IL,c17077,Jackson,"60,218","1,512.76",584.081,47.392,18.298,"1,560.16",602.379,37.786096,-89.381212
635,IL,c17079,Jasper,"9,698","1,280.77",494.51,9.349,3.61,"1,290.12",498.12,39.004874,-88.150763
636,IL,c17081,Jefferson,"38,827","1,479.32",571.169,32.674,12.615,"1,511.99",583.784,38.300779999999996,-88.92421
637,IL,c17083,Jersey,"22,985",956.408,369.271,20.349,7.857,976.757,377.128,39.080192,-90.361365
638,IL,c17085,Jo Daviess,"22,678","1,556.81",601.087,45.69,17.641,"1,602.50",618.728,42.362390999999995,-90.211471
639,IL,c17087,Johnson,"12,582",890.736,343.915,12.817,4.949,903.552,348.864,37.460815000000004,-88.882962
640,IL,c17089,Kane,"515,269","1,346.94",520.058,10.731,4.143,"1,357.67",524.201,41.939594,-88.42804
641,IL,c17091,Kankakee,"113,449","1,752.27",676.556,12.452,4.808,"1,764.72",681.364,41.139494,-87.861125
642,IL,c17093,Kendall,"114,736",829.665,320.335,5.141,1.985,834.805,322.32,41.58814,-88.430626
643,IL,c17095,Knox,"52,919","1,855.45",716.395,8.849,3.417,"1,864.30",719.812,40.930941,-90.213761
644,IL,c17097,Lake,"703,462","1,149.10",443.67,"2,395.24",924.809,"3,544.34","1,368.48",42.326444,-87.43611800000001
645,IL,c17099,La Salle,"113,924","2,939.96","1,135.12",33.701,13.012,"2,973.66","1,148.14",41.343340999999995,-88.885931
646,IL,c17101,Lawrence,"16,833",963.937,372.178,5.078,1.961,969.015,374.139,38.718954,-87.730221
647,IL,c17103,Lee,"36,031","1,877.47",724.896,10.506,4.057,"1,887.98",728.953,41.747442,-89.299351
648,IL,c17105,Livingston,"38,950","2,704.69","1,044.29",4.253,1.642,"2,708.94","1,045.93",40.894376,-88.552852
649,IL,c17107,Logan,"30,305","1,600.77",618.059,2.247,0.868,"1,603.01",618.927,40.12907,-89.365308
650,IL,c17109,McDonough,"32,612","1,526.56",589.407,2.013,0.777,"1,528.57",590.184,40.455789,-90.67757900000001
651,IL,c17111,McHenry,"308,760","1,562.21",603.171,19.792,7.642,"1,582.00",610.813,42.324298,-88.45224499999999
652,IL,c17113,McLean,"169,572","3,064.93","1,183.38",7.491,2.892,"3,072.42","1,186.27",40.494559,-88.844539
653,IL,c17115,Macon,"110,768","1,503.98",580.689,13.406,5.176,"1,517.38",585.865,39.860237,-88.961529
654,IL,c17117,Macoupin,"47,765","2,234.92",862.906,12.287,4.744,"2,247.21",867.65,39.2659,-89.926344
655,IL,c17119,Madison,"269,282","1,853.35",715.582,64.697,24.98,"1,918.05",740.562,38.827082,-89.900195
656,IL,c17121,Marion,"39,437","1,482.41",572.363,9.513,3.673,"1,491.93",576.036,38.648396000000005,-88.920221
657,IL,c17123,Marshall,"12,640","1,001.78",386.789,30.368,11.725,"1,032.15",398.514,41.031119,-89.342371
658,IL,c17125,Mason,"14,666","1,396.62",539.238,62.745,24.226,"1,459.36",563.464,40.236993,-89.913575
659,IL,c17127,Massac,"15,429",614.391,237.218,11.905,4.596,626.295,241.814,37.216119,-88.705658
660,IL,c17129,Menard,"12,705",814.388,314.437,2.642,1.02,817.03,315.457,40.022569,-89.794133
661,IL,c17131,Mercer,"16,434","1,453.51",561.202,19.403,7.492,"1,472.91",568.694,41.204791,-90.741433
662,IL,c17133,Monroe,"32,957",997.173,385.011,33.734,13.025,"1,030.91",398.036,38.277983,-90.179078
663,IL,c17135,Montgomery,"30,104","1,822.54",703.687,15.513,5.99,"1,838.05",709.677,39.228092,-89.47800699999999
664,IL,c17137,Morgan,"35,547","1,473.16",568.791,9.079,3.506,"1,482.24",572.297,39.716806,-90.202277
665,IL,c17139,Moultrie,"14,846",870.089,335.943,22.102,8.534,892.191,344.477,39.636896,-88.625726
666,IL,c17141,Ogle,"53,497","1,964.70",758.574,11.425,4.411,"1,976.12",762.985,42.041884,-89.320176
667,IL,c17143,Peoria,"186,494","1,603.75",619.209,29.499,11.39,"1,633.24",630.599,40.785999,-89.767358
668,IL,c17145,Perry,"22,350","1,144.16",441.761,13.447,5.192,"1,157.60",446.953,38.084385,-89.368487
669,IL,c17147,Piatt,"16,729","1,137.53",439.202,0.673,0.26,"1,138.20",439.462,40.009056,-88.59232800000001
670,IL,c17149,Pike,"16,430","2,153.27",831.381,45.333,17.503,"2,198.60",848.884,39.625106,-90.889034
671,IL,c17151,Pope,"4,470",955.11,368.77,14.329,5.532,969.439,374.302,37.417169,-88.542374
672,IL,c17153,Pulaski,"6,161",515.886,199.185,10.475,4.044,526.361,203.229,37.215615,-89.12775500000001
673,IL,c17155,Putnam,"6,006",414.814,160.161,31.243,12.063,446.057,172.224,41.19894,-89.298386
674,IL,c17157,Randolph,"33,476","1,490.54",575.5,56.216,21.705,"1,546.75",597.205,38.056515000000005,-89.82121
675,IL,c17159,Richland,"16,233",932.371,359.99,4.937,1.906,937.308,361.896,38.71155,-88.085698
676,IL,c17161,Rock Island,"147,546","1,107.57",427.636,61.257,23.652,"1,168.83",451.288,41.468404,-90.572203
677,IL,c17163,St. Clair,"270,056","1,703.59",657.759,42.15,16.274,"1,745.74",674.033,38.470197999999996,-89.928546
678,IL,c17165,Saline,"24,913",983.726,379.819,18.029,6.961,"1,001.76",386.78,37.751653000000005,-88.54503100000001
679,IL,c17167,Sangamon,"197,465","2,248.89",868.302,22.577,8.717,"2,271.47",877.019,39.756378000000005,-89.662311
680,IL,c17169,Schuyler,"7,544","1,132.53",437.273,10.512,4.059,"1,143.04",441.332,40.156905,-90.61346400000001
681,IL,c17171,Scott,"5,355",649.861,250.913,4.813,1.858,654.674,252.771,39.63698,-90.47775899999999
682,IL,c17173,Shelby,"22,363","1,964.57",758.523,24.726,9.547,"1,989.29",768.07,39.384926,-88.798862
683,IL,c17175,Stark,"5,994",746.122,288.079,0.709,0.274,746.83,288.353,41.096908,-89.797411
684,IL,c17177,Stephenson,"47,711","1,462.11",564.523,1.386,0.535,"1,463.49",565.058,42.349726000000004,-89.665994
685,IL,c17179,Tazewell,"135,394","1,680.84",648.974,23.211,8.962,"1,704.05",657.936,40.508074,-89.51626
686,IL,c17181,Union,"17,808","1,070.85",413.459,22.504,8.689,"1,093.36",422.148,37.475103999999995,-89.252875
687,IL,c17183,Vermilion,"81,625","2,326.76",898.368,7.534,2.909,"2,334.30",901.277,40.18674,-87.726772
688,IL,c17185,Wabash,"11,947",578.219,223.252,11.018,4.254,589.237,227.506,38.445821,-87.839167
689,IL,c17187,Warren,"17,707","1,404.82",542.405,1.674,0.646,"1,406.50",543.051,40.850441,-90.620223
690,IL,c17189,Washington,"14,716","1,457.06",562.572,3.455,1.334,"1,460.51",563.906,38.353141,-89.417187
691,IL,c17191,Wayne,"16,760","1,848.77",713.814,4.331,1.672,"1,853.10",715.486,38.431948,-88.432129
692,IL,c17193,White,"14,665","1,281.44",494.766,18.375,7.095,"1,299.81",501.861,38.087371999999995,-88.178585
693,IL,c17195,Whiteside,"58,498","1,772.20",684.25,31.796,12.277,"1,804.00",696.527,41.750571,-89.910957
694,IL,c17197,Will,"677,560","2,167.58",836.908,31.904,12.318,"2,199.49",849.226,41.448474,-87.97845600000001
695,IL,c17199,Williamson,"66,357","1,088.18",420.149,62.684,24.203,"1,150.87",444.352,37.730353,-88.930018
696,IL,c17201,Winnebago,"295,266","1,329.60",513.362,15.25,5.888,"1,344.85",519.25,42.337396000000005,-89.16120500000001
697,IL,c17203,Woodford,"38,664","1,366.99",527.799,38.442,14.843,"1,405.44",542.642,40.789596,-89.210301
698,IN,c18001,Adams,"34,387",878.079,339.028,2.43,0.938,880.51,339.966,40.745733,-84.936131
699,IN,c18003,Allen,"355,329","1,702.42",657.308,7.029,2.714,"1,709.45",660.022,41.091854999999995,-85.07223
700,IN,c18005,Bartholomew,"76,794","1,053.89",406.908,6.778,2.617,"1,060.67",409.525,39.205843,-85.897999
701,IN,c18007,Benton,"8,854","1,052.62",406.418,0.236,0.091,"1,052.85",406.509,40.608253000000005,-87.31547900000001
702,IN,c18009,Blackford,"12,766",427.555,165.08,1.304,0.503,428.858,165.583,40.472671999999996,-85.32373
703,IN,c18011,Boone,"56,640","1,095.34",422.913,0.878,0.339,"1,096.22",423.252,40.050892,-86.469014
704,IN,c18013,Brown,"15,242",808.027,311.981,12.043,4.65,820.07,316.631,39.192585,-86.23940999999999
705,IN,c18015,Carroll,"20,155",964.056,372.224,7.238,2.795,971.294,375.019,40.58498,-86.565141
706,IN,c18017,Cass,"38,966","1,067.48",412.155,6.974,2.693,"1,074.45",414.848,40.753799,-86.35516899999999
707,IN,c18019,Clark,"110,232",965.691,372.855,9.313,3.596,975.004,376.451,38.476217,-85.711122
708,IN,c18021,Clay,"26,890",926.029,357.542,7.199,2.78,933.228,360.322,39.393951,-87.115837
709,IN,c18023,Clinton,"33,224","1,049.13",405.07,0.461,0.178,"1,049.59",405.248,40.305944000000004,-86.47756700000001
710,IN,c18025,Crawford,"10,713",791.611,305.643,7.966,3.076,799.577,308.719,38.289433,-86.440871
711,IN,c18027,Daviess,"31,648","1,112.37",429.487,19.133,7.387,"1,131.50",436.874,38.696155,-87.076988
712,IN,c18029,Dearborn,"50,047",790.033,305.034,6.169,2.382,796.202,307.416,39.151491,-84.97346
713,IN,c18031,Decatur,"25,740",964.946,372.568,1.955,0.755,966.902,373.323,39.30598,-85.499831
714,IN,c18033,DeKalb,"42,223",939.711,362.824,2.657,1.026,942.368,363.85,41.401189,-85.000185
715,IN,c18035,Delaware,"117,671","1,015.60",392.124,9.804,3.785,"1,025.40",395.909,40.227165,-85.39885600000001
716,IN,c18037,Dubois,"41,889","1,106.62",427.269,20.887,8.064,"1,127.51",435.333,38.373344,-86.873385
717,IN,c18039,Elkhart,"197,559","1,199.61",463.17,12.432,4.8,"1,212.04",467.97,41.600693,-85.863986
718,IN,c18041,Fayette,"24,277",556.884,215.014,0.384,0.148,557.268,215.162,39.639655,-85.18503199999999
719,IN,c18043,Floyd,"74,578",383.149,147.935,2.649,1.023,385.798,148.958,38.317937,-85.911474
720,IN,c18045,Fountain,"17,240","1,024.74",395.656,5.76,2.224,"1,030.50",397.88,40.121282,-87.234806
721,IN,c18047,Franklin,"23,087",995.669,384.43,17.146,6.62,"1,012.81",391.05,39.409762,-85.066964
722,IN,c18049,Fulton,"20,836",954.121,368.388,7.451,2.877,961.573,371.265,41.050384,-86.265006
723,IN,c18051,Gibson,"33,503","1,262.58",487.486,30.248,11.679,"1,292.83",499.165,38.317413,-87.580566
724,IN,c18053,Grant,"70,061","1,072.45",414.074,2.133,0.824,"1,074.58",414.898,40.515758,-85.654946
725,IN,c18055,Greene,"33,165","1,405.06",542.495,8.865,3.423,"1,413.92",545.918,39.0486,-87.005245
726,IN,c18057,Hamilton,"274,569","1,021.15",394.267,21.159,8.17,"1,042.31",402.437,40.04987,-86.020586
727,IN,c18059,Hancock,"70,002",792.578,306.016,2.614,1.009,795.191,307.025,39.822604,-85.772904
728,IN,c18061,Harrison,"39,364","1,254.89",484.516,5.193,2.005,"1,260.08",486.521,38.186440000000005,-86.10368100000001
729,IN,c18063,Hendricks,"145,448","1,053.90",406.911,4.834,1.866,"1,058.73",408.777,39.768749,-86.510287
730,IN,c18065,Henry,"49,462","1,014.96",391.876,7.655,2.956,"1,022.61",394.832,39.929576000000004,-85.397338
731,IN,c18067,Howard,"82,752",759.013,293.057,2.24,0.865,761.253,293.922,40.483537,-86.114118
732,IN,c18069,Huntington,"37,124",991.061,382.651,13.135,5.071,"1,004.20",387.722,40.826394,-85.478598
733,IN,c18071,Jackson,"42,376","1,319.11",509.312,11.917,4.601,"1,331.03",513.913,38.911957,-86.042516
734,IN,c18073,Jasper,"33,478","1,449.42",559.625,4.561,1.761,"1,453.98",561.386,41.017688,-87.118814
735,IN,c18075,Jay,"21,253",994.31,383.905,0.459,0.177,994.769,384.082,40.434971999999995,-85.00338
736,IN,c18077,Jefferson,"32,428",934.029,360.631,5.848,2.258,939.877,362.889,38.783604,-85.44009
737,IN,c18079,Jennings,"28,525",975.346,376.583,4.564,1.762,979.91,378.345,38.996234,-85.628111
738,IN,c18081,Johnson,"139,654",829.903,320.427,3.529,1.363,833.432,321.79,39.495986,-86.0946
739,IN,c18083,Knox,"38,440","1,336.51",516.031,20.755,8.014,"1,357.27",524.045,38.688663,-87.420182
740,IN,c18085,Kosciusko,"77,358","1,376.27",531.381,59.601,23.012,"1,435.87",554.393,41.244293,-85.861575
741,IN,c18087,LaGrange,"37,128",983.222,379.624,18.333,7.078,"1,001.56",386.702,41.642468,-85.426302
742,IN,c18089,Lake,"496,005","1,292.30",498.961,330.48,127.599,"1,622.78",626.56,41.472239,-87.374337
743,IN,c18091,LaPorte,"111,467","1,549.59",598.299,38.747,14.96,"1,588.34",613.259,41.549011,-86.744729
744,IN,c18093,Lawrence,"46,134","1,163.34",449.168,7.151,2.761,"1,170.49",451.929,38.839815,-86.48782
745,IN,c18095,Madison,"131,636","1,170.46",451.915,2.562,0.989,"1,173.02",452.904,40.166203,-85.722454
746,IN,c18097,Marion,"903,393","1,026.41",396.298,17.378,6.71,"1,043.79",403.008,39.782976,-86.13579399999999
747,IN,c18099,Marshall,"47,051","1,148.99",443.629,15.836,6.114,"1,164.83",449.743,41.325003,-86.269036
748,IN,c18101,Martin,"10,334",869.555,335.737,12.093,4.669,881.648,340.406,38.705321999999995,-86.801847
749,IN,c18103,Miami,"36,903",968.247,373.842,9.185,3.546,977.431,377.388,40.772881,-86.044259
750,IN,c18105,Monroe,"137,974","1,021.77",394.509,43.543,16.812,"1,065.32",411.321,39.160751,-86.523325
751,IN,c18107,Montgomery,"38,124","1,306.94",504.613,2.155,0.832,"1,309.10",505.445,40.040296000000005,-86.892715
752,IN,c18109,Morgan,"68,894","1,046.28",403.969,14.137,5.458,"1,060.41",409.427,39.482646,-86.447457
753,IN,c18111,Newton,"14,244","1,040.55",401.759,4.35,1.679,"1,044.90",403.438,40.962399,-87.402172
754,IN,c18113,Noble,"47,536","1,064.08",410.843,17.068,6.59,"1,081.15",417.433,41.400794,-85.41785
755,IN,c18115,Ohio,"6,128",223.102,86.14,3.352,1.294,226.454,87.434,38.940527,-84.964299
756,IN,c18117,Orange,"19,840","1,031.82",398.387,25.394,9.805,"1,057.21",408.192,38.547381,-86.489257
757,IN,c18119,Owen,"21,575",997.893,385.288,6.571,2.537,"1,004.46",387.825,39.317339000000004,-86.83884499999999
758,IN,c18121,Parke,"17,339","1,151.67",444.663,13.769,5.316,"1,165.44",449.979,39.77425,-87.19695
759,IN,c18123,Perry,"19,338",988.669,381.727,11.818,4.563,"1,000.49",386.29,38.081436,-86.62654
760,IN,c18125,Pike,"12,845",865.674,334.238,17.757,6.856,883.43,341.094,38.397898,-87.23253199999999
761,IN,c18127,Porter,"164,343","1,083.01",418.153,268.395,103.628,"1,351.41",521.781,41.509921999999996,-87.071308
762,IN,c18129,Posey,"25,910","1,060.78",409.571,25.264,9.754,"1,086.05",419.325,38.027614,-87.86865300000001
763,IN,c18131,Pulaski,"13,402","1,123.15",433.649,2.292,0.885,"1,125.44",434.534,41.045272,-86.692538
764,IN,c18133,Putnam,"37,963","1,244.56",480.528,5.605,2.164,"1,250.17",482.692,39.665545,-86.853325
765,IN,c18135,Randolph,"26,171","1,171.66",452.379,2.42,0.935,"1,174.08",453.314,40.164414,-85.005004
766,IN,c18137,Ripley,"28,818","1,156.24",446.426,4.238,1.636,"1,160.47",448.062,39.100229999999996,-85.260541
767,IN,c18139,Rush,"17,392","1,057.04",408.124,0.872,0.337,"1,057.91",408.461,39.622312,-85.466527
768,IN,c18141,St. Joseph,"266,931","1,185.83",457.85,9.156,3.535,"1,194.98",461.385,41.617699,-86.288159
769,IN,c18143,Scott,"24,181",493.127,190.397,6.089,2.351,499.216,192.748,38.679431,-85.751898
770,IN,c18145,Shelby,"44,436","1,064.87",411.147,4.168,1.609,"1,069.03",412.756,39.524135,-85.792174
771,IN,c18147,Spencer,"20,952","1,027.56",396.744,12.127,4.682,"1,039.69",401.426,38.009789000000005,-87.010645
772,IN,c18149,Starke,"23,363",800.654,309.134,7.955,3.072,808.609,312.206,41.28322,-86.64757
773,IN,c18151,Steuben,"34,185",800.149,308.939,35.034,13.527,835.183,322.466,41.643437,-85.00246700000001
774,IN,c18153,Sullivan,"21,475","1,158.09",447.142,18.063,6.974,"1,176.16",454.116,39.089225,-87.41584300000001
775,IN,c18155,Switzerland,"10,613",571.436,220.633,7.267,2.806,578.704,223.439,38.825846000000006,-85.029679
776,IN,c18157,Tippecanoe,"172,780","1,294.49",499.806,8.903,3.437,"1,303.39",503.243,40.38926,-86.89394300000001
777,IN,c18159,Tipton,"15,936",674.798,260.541,0.068,0.026,674.866,260.567,40.310229,-86.056207
778,IN,c18161,Union,"7,516",417.568,161.224,10.239,3.953,427.807,165.177,39.623111,-84.925152
779,IN,c18163,Vanderburgh,"179,703",604.698,233.475,7.393,2.855,612.091,236.33,38.020070000000004,-87.586166
780,IN,c18165,Vermillion,"16,212",665.312,256.878,7.905,3.052,673.217,259.93,39.854045,-87.462071
781,IN,c18167,Vigo,"107,848","1,044.58",403.313,18.487,7.138,"1,063.06",410.451,39.429142999999996,-87.390375
782,IN,c18169,Wabash,"32,888","1,068.20",412.434,22.122,8.541,"1,090.32",420.975,40.843717,-85.795175
783,IN,c18171,Warren,"8,508",944.521,364.681,4.466,1.724,948.987,366.405,40.352658,-87.375847
784,IN,c18173,Warrick,"59,689",996.667,384.815,16.156,6.238,"1,012.82",391.053,38.097764,-87.272023
785,IN,c18175,Washington,"28,262","1,330.54",513.725,7.444,2.874,"1,337.99",516.599,38.600613,-86.10475100000001
786,IN,c18177,Wayne,"68,917","1,040.50",401.74,6.737,2.601,"1,047.24",404.341,39.863091,-85.00673499999999
787,IN,c18179,Wells,"27,636",953.341,368.087,5.596,2.161,958.938,370.248,40.735273,-85.212974
788,IN,c18181,White,"24,643","1,308.27",505.125,9.206,3.555,"1,317.47",508.68,40.75095,-86.864293
789,IN,c18183,Whitley,"33,292",869.121,335.569,6.073,2.345,875.194,337.914,41.136426,-85.501892
790,IA,c19001,Adair,"7,682","1,474.40",569.271,2.598,1.003,"1,477.00",570.274,41.328528000000006,-94.478164
791,IA,c19003,Adams,"4,029","1,096.70",423.439,5.353,2.067,"1,102.05",425.506,41.021656,-94.69690600000001
792,IA,c19005,Allamakee,"14,330","1,655.21",639.082,50.995,19.689,"1,706.21",658.771,43.274964000000004,-91.382751
793,IA,c19007,Appanoose,"12,887","1,287.98",497.292,49.084,18.951,"1,337.07",516.243,40.744683,-92.870345
794,IA,c19009,Audubon,"6,119","1,147.26",442.961,1.152,0.445,"1,148.42",443.406,41.679178,-94.904312
795,IA,c19011,Benton,"26,076","1,855.12",716.265,5.761,2.224,"1,860.88",718.489,42.092546999999996,-92.05763
796,IA,c19013,Black Hawk,"131,090","1,465.33",565.769,17.9,6.911,"1,483.23",572.68,42.472888,-92.30605899999999
797,IA,c19015,Boone,"26,306","1,480.36",571.569,5.365,2.071,"1,485.72",573.64,42.038601,-93.939138
798,IA,c19017,Bremer,"24,276","1,127.88",435.477,10.172,3.927,"1,138.05",439.404,42.78089,-92.327586
799,IA,c19019,Buchanan,"20,958","1,478.94",571.02,5.428,2.096,"1,484.36",573.116,42.470328,-91.838666
800,IA,c19021,Buena Vista,"20,260","1,489.02",574.915,13.758,5.312,"1,502.78",580.227,42.741521999999996,-95.14143299999999
801,IA,c19023,Butler,"14,867","1,502.53",580.131,4.21,1.625,"1,506.74",581.756,42.734708000000005,-92.780066
802,IA,c19025,Calhoun,"9,670","1,476.21",569.968,5.561,2.147,"1,481.77",572.115,42.38617,-94.643683
803,IA,c19027,Carroll,"20,816","1,474.84",569.437,2.145,0.828,"1,476.98",570.265,42.039491999999996,-94.86764699999999
804,IA,c19029,Cass,"13,956","1,461.45",564.269,1.759,0.679,"1,463.21",564.948,41.333824,-94.933302
805,IA,c19031,Cedar,"18,499","1,500.73",579.436,6.386,2.466,"1,507.12",581.902,41.772355,-91.13219000000001
806,IA,c19033,Cerro Gordo,"44,151","1,471.92",568.313,17.627,6.806,"1,489.55",575.119,43.075171000000005,-93.251266
807,IA,c19035,Cherokee,"12,072","1,494.18",576.906,0.423,0.163,"1,494.60",577.069,42.742738,-95.633262
808,IA,c19037,Chickasaw,"12,439","1,306.34",504.38,3.309,1.278,"1,309.65",505.658,43.059740999999995,-92.31721
809,IA,c19039,Clarke,"9,286","1,116.72",431.167,1.525,0.589,"1,118.24",431.756,41.029191,-93.78409599999999
810,IA,c19041,Clay,"16,667","1,469.14",567.238,13.867,5.354,"1,483.01",572.592,43.079822,-95.149726
811,IA,c19043,Clayton,"18,129","2,016.41",778.539,36.586,14.126,"2,052.99",792.665,42.840998,-91.323511
812,IA,c19045,Clinton,"49,116","1,799.82",694.915,39.524,15.26,"1,839.35",710.175,41.898073,-90.534243
813,IA,c19047,Crawford,"17,096","1,849.74",714.19,2.194,0.847,"1,851.94",715.037,42.043119,-95.38909
814,IA,c19049,Dallas,"66,135","1,524.07",588.447,8.421,3.252,"1,532.49",591.699,41.685321,-94.040707
815,IA,c19051,Davis,"8,753","1,300.66",502.188,6.904,2.666,"1,307.57",504.854,40.748089,-92.41034499999999
816,IA,c19053,Decatur,"8,457","1,377.57",531.881,4.142,1.599,"1,381.71",533.48,40.736379,-93.78458
817,IA,c19055,Delaware,"17,764","1,496.38",577.756,3.082,1.19,"1,499.46",578.946,42.473003000000006,-91.359443
818,IA,c19057,Des Moines,"40,325","1,077.76",416.123,35.294,13.627,"1,113.05",429.75,40.915339,-91.186925
819,IA,c19059,Dickinson,"16,667",985.764,380.606,60.491,23.356,"1,046.26",403.962,43.389611,-95.196057
820,IA,c19061,Dubuque,"93,653","1,575.50",608.305,21.569,8.328,"1,597.07",616.633,42.463481,-90.878771
821,IA,c19063,Emmet,"10,302","1,025.33",395.883,17.196,6.64,"1,042.53",402.523,43.377984000000005,-94.66937
822,IA,c19065,Fayette,"20,880","1,892.79",730.811,1.334,0.515,"1,894.13",731.326,42.86445,-91.839373
823,IA,c19067,Floyd,"16,303","1,296.63",500.632,1.943,0.75,"1,298.57",501.382,43.052741,-92.787367
824,IA,c19069,Franklin,"10,680","1,507.30",581.972,1.429,0.552,"1,508.73",582.524,42.736549,-93.271425
825,IA,c19071,Fremont,"7,441","1,323.87",511.15,14.214,5.488,"1,338.09",516.638,40.743726,-95.59951600000001
826,IA,c19073,Greene,"9,336","1,475.19",569.574,4.25,1.641,"1,479.44",571.215,42.042494,-94.388703
827,IA,c19075,Grundy,"12,453","1,299.81",501.858,0.094,0.036,"1,299.90",501.894,42.403323,-92.790261
828,IA,c19077,Guthrie,"10,954","1,529.70",590.62,6.356,2.454,"1,536.06",593.074,41.683572999999996,-94.501272
829,IA,c19079,Hamilton,"15,673","1,493.78",576.751,1.965,0.759,"1,495.74",577.51,42.390768,-93.709198
